created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2023-10-25T23:04:08+00:00,1,12,25,,,,field1 is less than field2
2023-10-25T23:04:28+00:00,2,13,14,,,,field1 is less than field2
2023-10-25T23:04:49+00:00,3,14,42,,,,field1 is less than field2
2023-10-25T23:05:09+00:00,4,15,1,,,,field1 is greater than field2
2023-10-25T23:05:30+00:00,5,16,62,,,,field1 is less than field2
2023-10-25T23:05:50+00:00,6,17,60,,,,field1 is less than field2
2023-10-25T23:06:10+00:00,7,18,11,,,,field1 is greater than field2
2023-10-25T23:06:31+00:00,8,19,16,,,,field1 is greater than field2
2023-10-25T23:06:51+00:00,9,20,64,,,,field1 is less than field2
2023-10-26T02:15:37+00:00,10,4,8,,,,field1 is less than field2
2023-10-26T02:15:57+00:00,11,5,52,,,,field1 is less than field2
2023-10-26T02:16:18+00:00,12,6,36,,,,field1 is less than field2
2023-10-26T02:16:38+00:00,13,7,48,,,,field1 is less than field2
2023-10-26T02:16:58+00:00,14,8,78,,,,field1 is less than field2
2023-10-26T02:17:19+00:00,15,9,87,,,,field1 is less than field2
2023-10-26T02:17:39+00:00,16,10,48,,,,field1 is less than field2
2023-10-26T02:17:59+00:00,17,11,66,,,,field1 is less than field2
2023-10-26T02:27:56+00:00,18,5,94,,,,field1 is less than field2
2023-10-26T02:28:16+00:00,19,6,89,,,,field1 is less than field2
2023-10-26T02:28:36+00:00,20,7,23,,,,field1 is less than field2
2023-10-26T02:28:57+00:00,21,8,82,,,,field1 is less than field2
2023-10-26T02:29:17+00:00,22,9,60,,,,field1 is less than field2
2023-10-26T02:29:38+00:00,23,10,74,,,,field1 is less than field2
2023-10-26T02:29:58+00:00,24,11,15,,,,field1 is less than field2
2023-10-26T02:30:18+00:00,25,12,81,,,,field1 is less than field2
2023-10-26T02:30:39+00:00,26,13,82,,,,field1 is less than field2
2023-10-26T02:30:59+00:00,27,14,25,,,,field1 is less than field2
2023-10-26T02:31:19+00:00,28,15,95,,,,field1 is less than field2
2023-10-26T02:31:40+00:00,29,16,82,,,,field1 is less than field2
2023-10-26T02:32:00+00:00,30,17,97,,,,field1 is less than field2
2023-10-26T02:32:21+00:00,31,18,80,,,,field1 is less than field2
2023-10-26T02:32:41+00:00,32,19,24,,,,field1 is less than field2
2023-10-26T02:33:01+00:00,33,20,69,,,,field1 is less than field2
2023-10-26T02:33:22+00:00,34,21,64,,,,field1 is less than field2
2023-10-26T02:33:42+00:00,35,22,86,,,,field1 is less than field2
2023-10-26T02:34:02+00:00,36,23,79,,,,field1 is less than field2
2023-10-26T02:34:23+00:00,37,24,54,,,,field1 is less than field2
